,Name,total_area
0,Accessory supraoptic group,59041.6
1,Agranular insular area,24331907.9
2,"Agranular insular area, dorsal part",5282321.8
3,"Agranular insular area, dorsal part, layer 1",311498.3
4,"Agranular insular area, dorsal part, layer 2/3",1005377.2000000001
5,"Agranular insular area, dorsal part, layer 5",1939167.7
6,"Agranular insular area, dorsal part, layer 6a",1873403.7
7,"Agranular insular area, dorsal part, layer 6b",152875.24
8,"Agranular insular area, posterior part",16108043.1
9,"Agranular insular area, posterior part, layer 1",2828614.6
10,"Agranular insular area, posterior part, layer 2/3",5355564.3
11,"Agranular insular area, posterior part, layer 5",4969659.1
12,"Agranular insular area, posterior part, layer 6a",2814525.2
13,"Agranular insular area, posterior part, layer 6b",139682.38
14,"Agranular insular area, ventral part",2942243.17
15,"Agranular insular area, ventral part, layer 1",277150.0
16,"Agranular insular area, ventral part, layer 2/3",938012.74
17,"Agranular insular area, ventral part, layer 5",1045271.9
18,"Agranular insular area, ventral part, layer 6a",681808.97
19,Ammon's horn,85352737.9
20,Anterior amygdalar area,3382474.6
21,Anterior area,10987443.9
22,"Anterior area, layer 1",1834253.9
23,"Anterior area, layer 2/3",3289313.3
24,"Anterior area, layer 4",1178120.7
25,"Anterior area, layer 5",2710849.48
26,"Anterior area, layer 6a",1681444.5999999999
27,"Anterior area, layer 6b",293463.6
28,Anterior cingulate area,30611239.17
29,"Anterior cingulate area, dorsal part",14725492.57
30,"Anterior cingulate area, dorsal part, layer 1",2735137.8
31,"Anterior cingulate area, dorsal part, layer 2/3",2658159.9
32,"Anterior cingulate area, dorsal part, layer 5",5377442.3
33,"Anterior cingulate area, dorsal part, layer 6a",3793443.71
34,"Anterior cingulate area, dorsal part, layer 6b",161315.27
35,"Anterior cingulate area, ventral part",15885748.5
36,"Anterior cingulate area, ventral part, 6a",2552246.5
37,"Anterior cingulate area, ventral part, 6b",458503.8
38,"Anterior cingulate area, ventral part, layer 1",2940605.48
39,"Anterior cingulate area, ventral part, layer 2/3",3267131.6
40,"Anterior cingulate area, ventral part, layer 5",6667255.3
41,Anterior group of the dorsal thalamus,15807126.6
42,Anterior hypothalamic nucleus,5518256.7
43,Anterior pretectal nucleus,8767718.2
44,Anterodorsal nucleus,995486.8
45,Anterodorsal preoptic nucleus,752798.6
46,Anterolateral visual area,3108204.0
47,"Anterolateral visual area, layer 1",476261.10000000003
48,"Anterolateral visual area, layer 2/3",803725.7999999999
49,"Anterolateral visual area, layer 4",413042.3
50,"Anterolateral visual area, layer 5",825514.2
51,"Anterolateral visual area, layer 6a",488117.9
52,"Anterolateral visual area, layer 6b",101542.0
53,Anteromedial nucleus,2891238.6
54,"Anteromedial nucleus, dorsal part",1717881.8
55,"Anteromedial nucleus, ventral part",1173387.2
56,Anteromedial visual area,4814401.2
57,"Anteromedial visual area, layer 1",846758.3
58,"Anteromedial visual area, layer 2/3",1279508.9
59,"Anteromedial visual area, layer 4",366021.1
60,"Anteromedial visual area, layer 5",1375399.7
61,"Anteromedial visual area, layer 6a",809932.2
62,"Anteromedial visual area, layer 6b",136780.5
63,Anteroventral nucleus of thalamus,2784544.1
64,Anteroventral periventricular nucleus,1329874.3
65,Anteroventral preoptic nucleus,687562.4
66,Arcuate hypothalamic nucleus,3144907.3
67,Auditory areas,32283437.9
68,Basic cell groups and regions,1549001776.9
69,Basolateral amygdalar nucleus,13564276.0
70,"Basolateral amygdalar nucleus, anterior part",5624889.6
71,"Basolateral amygdalar nucleus, posterior part",4757264.8
72,"Basolateral amygdalar nucleus, ventral part",3182141.3
73,Basomedial amygdalar nucleus,10477944.8
74,"Basomedial amygdalar nucleus, anterior part",5255398.8
75,"Basomedial amygdalar nucleus, posterior part",5222546.2
76,Bed nuclei of the stria terminalis,11322562.3
77,Bed nucleus of the accessory olfactory tract,158472.56
78,Bed nucleus of the anterior commissure,71568.5
79,Brain stem,339049029.05
80,Caudoputamen,186203133.87
81,Central amygdalar nucleus,9218649.0
82,"Central amygdalar nucleus, capsular part",2141710.8
83,"Central amygdalar nucleus, lateral part",1815478.1
84,"Central amygdalar nucleus, medial part",5261461.0
85,Central lateral nucleus of the thalamus,2441114.5
86,Central medial nucleus of the thalamus,1811944.5
87,Cerebral cortex,901253618.1
88,Cerebral nuclei,372048235.9
89,Cerebrum,1216563792.8
90,Claustrum,2676019.4
91,Cortical amygdalar area,18887765.6
92,"Cortical amygdalar area, anterior part",5083157.88
93,"Cortical amygdalar area, posterior part",13804606.6
94,"Cortical amygdalar area, posterior part, lateral zone",7328228.8
95,"Cortical amygdalar area, posterior part, medial zone",6476378.0
96,Cortical plate,757684203.5
97,Cortical subplate,56998557.5
98,Dentate gyrus,26046151.9
99,"Dentate gyrus, granule cell layer",6773488.9
100,"Dentate gyrus, molecular layer",17032365.6
101,"Dentate gyrus, polymorph layer",2240297.03
102,Diagonal band nucleus,5342096.0
103,Dorsal auditory area,8179066.899999999
104,"Dorsal auditory area, layer 1",1361671.3
105,"Dorsal auditory area, layer 2/3",2235470.1
106,"Dorsal auditory area, layer 4",900974.5
107,"Dorsal auditory area, layer 5",2287211.7
108,"Dorsal auditory area, layer 6a",1200628.7
109,"Dorsal auditory area, layer 6b",193125.1
110,Dorsal part of the lateral geniculate complex,5799018.1
111,"Dorsal part of the lateral geniculate complex, core",3370973.9
112,"Dorsal part of the lateral geniculate complex, ipsilateral zone",750474.8
113,"Dorsal part of the lateral geniculate complex, shell",1676315.4
114,Dorsal premammillary nucleus,1152899.4
115,Dorsomedial nucleus of the hypothalamus,3329767.2
116,Ectorhinal area,8035456.9
117,Ectorhinal area/Layer 1,1116396.0
118,Ectorhinal area/Layer 2/3,2133159.1
119,Ectorhinal area/Layer 5,2568491.2
120,Ectorhinal area/Layer 6a,1961474.71
121,Ectorhinal area/Layer 6b,255935.0
122,Edinger-Westphal nucleus,35440.8
123,Endopiriform nucleus,16212236.3
124,"Endopiriform nucleus, dorsal part",10052182.629999999
125,"Endopiriform nucleus, ventral part",6160067.4
126,Entorhinal area,9135246.5
127,"Entorhinal area, lateral part",9135246.5
128,"Entorhinal area, lateral part, layer 1",1457999.2
129,"Entorhinal area, lateral part, layer 2",2085593.68
130,"Entorhinal area, lateral part, layer 3",2181072.1
131,"Entorhinal area, lateral part, layer 5",2425991.9
132,"Entorhinal area, lateral part, layer 6a",984590.38
133,Epithalamus,5342929.5
134,Ethmoid nucleus of the thalamus,1946782.26
135,Fasciola cinerea,488375.3
136,Field CA1,45108532.2
137,Field CA2,3218651.6
138,Field CA3,37025556.5
139,Fields of Forel,2302558.5
140,Fundus of striatum,3178191.2
141,"Geniculate group, dorsal thalamus",8659850.7
142,"Geniculate group, ventral thalamus",4351664.9
143,"Globus pallidus, external segment",11015790.9
144,"Globus pallidus, internal segment",3169980.8
145,Gustatory areas,10904628.2
146,"Gustatory areas, layer 1",1012423.9
147,"Gustatory areas, layer 2/3",2094747.59
148,"Gustatory areas, layer 4",900937.49
149,"Gustatory areas, layer 5",3441022.27
150,"Gustatory areas, layer 6a",3164427.7
151,"Gustatory areas, layer 6b",291068.9
152,Hippocampal formation,126590638.8
153,Hippocampal region,112820146.2
154,Hippocampo-amygdalar transition area,318565.92
155,Hypothalamic lateral zone,44357389.8
156,Hypothalamic medial zone,32150479.3
157,Hypothalamus,125316557.55
158,Induseum griseum,932927.2
159,Interanterodorsal nucleus of the thalamus,741682.6
160,Interanteromedial nucleus of the thalamus,347949.9
161,Interbrain,278960945.75
162,Intercalated amygdalar nucleus,1287709.4
163,Interfascicular nucleus raphe,135153.5
164,Intergeniculate leaflet of the lateral geniculate complex,552891.52
165,Intermediate geniculate nucleus,196925.9
166,Intermediodorsal nucleus of the thalamus,1468004.2
167,Interpeduncular nucleus,104003.20000000001
168,"Interpeduncular nucleus, rostral",60076.3
169,"Interpeduncular nucleus, rostrolateral",43926.6
170,Interstitial nucleus of Cajal,247001.5
171,Intralaminar nuclei of the dorsal thalamus,10919526.0
172,Isocortex,530560171.5
173,Lateral amygdalar nucleus,6330328.65
174,Lateral dorsal nucleus of thalamus,8046220.7
175,Lateral group of the dorsal thalamus,22718753.4
176,Lateral habenula,2800678.4
177,Lateral hypothalamic area,14942630.5
178,Lateral mammillary nucleus,689862.6
179,Lateral posterior nucleus of the thalamus,9235932.2
180,Lateral preoptic area,4722534.4
181,Lateral septal complex,29181774.0
182,Lateral septal nucleus,24953129.7
183,"Lateral septal nucleus, caudal (caudodorsal) part",4648713.2
184,"Lateral septal nucleus, rostral (rostroventral) part",15260703.7
185,"Lateral septal nucleus, ventral part",5043713.649999999
186,Lateral terminal nucleus of the accessory optic tract,47714.92
187,Lateral visual area,370488.1
188,"Lateral visual area, layer 1",34410.9
189,"Lateral visual area, layer 2/3",74877.8
190,"Lateral visual area, layer 4",59080.7
191,"Lateral visual area, layer 5",115064.1
192,"Lateral visual area, layer 6a",72392.0
193,"Lateral visual area, layer 6b",14716.0
194,Laterointermediate area,82463.0
195,"Laterointermediate area, layer 4",1846.2
196,"Laterointermediate area, layer 5",45323.3
197,"Laterointermediate area, layer 6a",28697.0
198,"Laterointermediate area, layer 6b",6596.5
199,Magnocellular nucleus,2704535.8
200,Mammillary body,7954600.1
201,Medial accesory oculomotor nucleus,49443.5
202,Medial amygdalar nucleus,15507760.7
203,Medial geniculate complex,2860829.7
204,"Medial geniculate complex, dorsal part",445937.9
205,"Medial geniculate complex, medial part",1403494.7
206,"Medial geniculate complex, ventral part",1011396.99
207,Medial group of the dorsal thalamus,16232496.8
208,Medial habenula,2542251.2
209,Medial mammillary nucleus,3991184.5
210,"Medial mammillary nucleus, dorsal part",397369.01
211,"Medial mammillary nucleus, lateral part",1554181.6
212,"Medial mammillary nucleus, medial part",1167183.3
213,"Medial mammillary nucleus, median part",769224.8
214,"Medial mammillary nucleus, posterior part",103255.79999999999
215,Medial preoptic area,4502153.3
216,Medial preoptic nucleus,3828144.5
217,Medial pretectal area,315727.3
218,Medial septal complex,8848705.7
219,Medial septal nucleus,3506604.63
220,Medial terminal nucleus of the accessory optic tract,166413.1
221,Median eminence,938319.2
222,Median preoptic nucleus,346340.7
223,Mediodorsal nucleus of thalamus,10886405.6
224,Midbrain,60089057.0
225,Midbrain raphe nuclei,300655.5
226,Midbrain reticular nucleus,7587540.8
227,"Midbrain, behavioral state related",1169525.2
228,"Midbrain, motor related",36351015.1
229,"Midbrain, sensory related",470934.1
230,Midline group of the dorsal thalamus,10406739.0
231,Nucleus accumbens,20487046.6
232,Nucleus of Darkschewitsch,292395.0
233,Nucleus of reuniens,3488197.1
