,Name,total_area
0,Accessory supraoptic group,60523.5
1,Agranular insular area,29765410.1
2,"Agranular insular area, dorsal part",7564670.8
3,"Agranular insular area, dorsal part, layer 1",477560.9
4,"Agranular insular area, dorsal part, layer 2/3",1478752.01
5,"Agranular insular area, dorsal part, layer 5",2837680.3
6,"Agranular insular area, dorsal part, layer 6a",2539607.5
7,"Agranular insular area, dorsal part, layer 6b",231069.2
8,"Agranular insular area, posterior part",17778745.0
9,"Agranular insular area, posterior part, layer 1",3087530.3
10,"Agranular insular area, posterior part, layer 2/3",5849992.9
11,"Agranular insular area, posterior part, layer 5",5489707.6
12,"Agranular insular area, posterior part, layer 6a",3199120.59
13,"Agranular insular area, posterior part, layer 6b",152576.01
14,"Agranular insular area, ventral part",4423731.4
15,"Agranular insular area, ventral part, layer 1",410288.6
16,"Agranular insular area, ventral part, layer 2/3",1398474.3
17,"Agranular insular area, ventral part, layer 5",1618687.8
18,"Agranular insular area, ventral part, layer 6a",993541.6
19,"Agranular insular area, ventral part, layer 6b",2738.96
20,Ammon's horn,93258330.7
21,Anterior amygdalar area,2786534.29
22,Anterior area,11462002.3
23,"Anterior area, layer 1",1896313.7
24,"Anterior area, layer 2/3",3402197.0
25,"Anterior area, layer 4",1243309.4
26,"Anterior area, layer 5",2829991.5
27,"Anterior area, layer 6a",1776729.4
28,"Anterior area, layer 6b",313461.0
29,Anterior cingulate area,32385204.5
30,"Anterior cingulate area, dorsal part",15558488.2
31,"Anterior cingulate area, dorsal part, layer 1",2862181.7
32,"Anterior cingulate area, dorsal part, layer 2/3",2793597.3
33,"Anterior cingulate area, dorsal part, layer 5",5640908.94
34,"Anterior cingulate area, dorsal part, layer 6a",4089792.5
35,"Anterior cingulate area, dorsal part, layer 6b",172021.7
36,"Anterior cingulate area, ventral part",16826717.9
37,"Anterior cingulate area, ventral part, 6a",2705599.4
38,"Anterior cingulate area, ventral part, 6b",452862.8
39,"Anterior cingulate area, ventral part, layer 1",3129359.1
40,"Anterior cingulate area, ventral part, layer 2/3",3426772.9
41,"Anterior cingulate area, ventral part, layer 5",7112208.7
42,Anterior group of the dorsal thalamus,18408794.5
43,Anterior hypothalamic nucleus,6198078.3
44,Anterior pretectal nucleus,8500847.9
45,Anterodorsal nucleus,1401421.9
46,Anterodorsal preoptic nucleus,729674.7
47,Anterolateral visual area,3531293.0
48,"Anterolateral visual area, layer 1",493415.5
49,"Anterolateral visual area, layer 2/3",913351.1
50,"Anterolateral visual area, layer 4",498513.0
51,"Anterolateral visual area, layer 5",981538.1000000001
52,"Anterolateral visual area, layer 6a",533210.54
53,"Anterolateral visual area, layer 6b",111265.0
54,Anteromedial nucleus,3739650.4
55,"Anteromedial nucleus, dorsal part",2247375.1
56,"Anteromedial nucleus, ventral part",1492275.7
57,Anteromedial visual area,5654831.399999999
58,"Anteromedial visual area, layer 1",974968.7
59,"Anteromedial visual area, layer 2/3",1490559.5
60,"Anteromedial visual area, layer 4",421366.8
61,"Anteromedial visual area, layer 5",1616514.4
62,"Anteromedial visual area, layer 6a",984599.6
63,"Anteromedial visual area, layer 6b",166823.0
64,Anteroventral nucleus of thalamus,3781094.1
65,Anteroventral periventricular nucleus,1512760.6
66,Anteroventral preoptic nucleus,704589.3
67,Arcuate hypothalamic nucleus,2484266.84
68,Auditory areas,35961066.9
69,Basic cell groups and regions,1604069300.3
