,Name,total_area
0,Accessory supraoptic group,77886.8
1,Agranular insular area,58757720.9
2,"Agranular insular area, dorsal part",13578463.8
3,"Agranular insular area, dorsal part, layer 1",854554.35
4,"Agranular insular area, dorsal part, layer 2/3",2706712.58
5,"Agranular insular area, dorsal part, layer 5",5010478.4
6,"Agranular insular area, dorsal part, layer 6a",4612769.2
7,"Agranular insular area, dorsal part, layer 6b",393949.2
8,"Agranular insular area, posterior part",37126601.7
9,"Agranular insular area, posterior part, layer 1",6440926.5
10,"Agranular insular area, posterior part, layer 2/3",12268708.02
11,"Agranular insular area, posterior part, layer 5",11465332.3
12,"Agranular insular area, posterior part, layer 6a",6641544.1
13,"Agranular insular area, posterior part, layer 6b",310142.46
14,"Agranular insular area, ventral part",8055722.899999999
15,"Agranular insular area, ventral part, layer 1",789551.2
16,"Agranular insular area, ventral part, layer 2/3",2580022.4
17,"Agranular insular area, ventral part, layer 5",2883676.8
18,"Agranular insular area, ventral part, layer 6a",1802472.5
19,Ammon's horn,187708578.1
20,Anterior amygdalar area,7175439.2
21,Anterior area,22291593.23
22,"Anterior area, layer 1",3771610.53
23,"Anterior area, layer 2/3",6610505.0
24,"Anterior area, layer 4",2386742.0
25,"Anterior area, layer 5",5476363.8
26,"Anterior area, layer 6a",3434830.8
27,"Anterior area, layer 6b",611541.2
28,Anterior cingulate area,62443394.27
29,"Anterior cingulate area, dorsal part",29868689.47
30,"Anterior cingulate area, dorsal part, layer 1",5607019.3
31,"Anterior cingulate area, dorsal part, layer 2/3",5274646.2
32,"Anterior cingulate area, dorsal part, layer 5",10791384.46
33,"Anterior cingulate area, dorsal part, layer 6a",7850761.04
34,"Anterior cingulate area, dorsal part, layer 6b",344885.62
35,"Anterior cingulate area, ventral part",32574703.7
36,"Anterior cingulate area, ventral part, 6a",5297220.72
37,"Anterior cingulate area, ventral part, 6b",954743.26
38,"Anterior cingulate area, ventral part, layer 1",6084873.51
39,"Anterior cingulate area, ventral part, layer 2/3",6607715.8
40,"Anterior cingulate area, ventral part, layer 5",13630257.1
41,Anterior group of the dorsal thalamus,34138594.8
42,Anterior hypothalamic nucleus,11603301.5
43,Anterior pretectal nucleus,18613111.5
44,Anterodorsal nucleus,2544274.26
45,Anterodorsal preoptic nucleus,1492702.7
46,Anterolateral visual area,9994955.5
47,"Anterolateral visual area, layer 1",1446435.5
48,"Anterolateral visual area, layer 2/3",2557973.2
49,"Anterolateral visual area, layer 4",1368101.19
50,"Anterolateral visual area, layer 5",2752663.4
51,"Anterolateral visual area, layer 6a",1554219.4
52,"Anterolateral visual area, layer 6b",315562.5
53,Anteromedial nucleus,6590038.6
54,"Anteromedial nucleus, dorsal part",3934379.9
55,"Anteromedial nucleus, ventral part",2655659.0
56,Anteromedial visual area,11699293.96
57,"Anteromedial visual area, layer 1",2120916.46
58,"Anteromedial visual area, layer 2/3",3029176.4
59,"Anteromedial visual area, layer 4",881102.3
60,"Anteromedial visual area, layer 5",3313392.4
61,"Anteromedial visual area, layer 6a",2009901.6
62,"Anteromedial visual area, layer 6b",344804.5
63,Anteroventral nucleus of thalamus,6596888.74
64,Anteroventral periventricular nucleus,2870409.5
65,Anteroventral preoptic nucleus,1428190.69
66,Arcuate hypothalamic nucleus,4804026.1
67,Auditory areas,76036179.4
68,Basic cell groups and regions,3239021372.0
69,Basolateral amygdalar nucleus,27983662.2
70,"Basolateral amygdalar nucleus, anterior part",11729759.8
71,"Basolateral amygdalar nucleus, posterior part",10059578.1
72,"Basolateral amygdalar nucleus, ventral part",6194356.8
73,Basomedial amygdalar nucleus,22431161.73
74,"Basomedial amygdalar nucleus, anterior part",11684789.1
75,"Basomedial amygdalar nucleus, posterior part",10746372.63
76,Bed nuclei of the stria terminalis,22814402.3
77,Bed nucleus of the accessory olfactory tract,400228.0
78,Bed nucleus of the anterior commissure,141771.3
79,Brain stem,670856166.9
80,Caudoputamen,395617903.9
81,Central amygdalar nucleus,20248255.77
82,"Central amygdalar nucleus, capsular part",4748613.97
83,"Central amygdalar nucleus, lateral part",3942156.6999999997
84,"Central amygdalar nucleus, medial part",11557484.6
85,Central lateral nucleus of the thalamus,5732117.06
86,Central medial nucleus of the thalamus,3917859.1
87,Cerebral cortex,1785820513.1
88,Cerebral nuclei,799101884.79
89,Cerebrum,2584919024.8
90,Claustrum,6310633.4
91,Cortical amygdalar area,38714073.2
92,"Cortical amygdalar area, anterior part",11714509.9
93,"Cortical amygdalar area, posterior part",26999563.5
94,"Cortical amygdalar area, posterior part, lateral zone",14192484.9
95,"Cortical amygdalar area, posterior part, medial zone",12807078.2
96,Cortical plate,1663574688.7
97,Cortical subplate,122245950.8
98,Dentate gyrus,56460897.9
99,"Dentate gyrus, granule cell layer",14639659.7
100,"Dentate gyrus, molecular layer",37015250.6
101,"Dentate gyrus, polymorph layer",4805987.7
