,BrainRegion,Class,Num_cells,id,channel,Unnamed: 0,total_area,cfos/area,state_before,retrieval_before_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,1h_food_consumption_after,target,exp_time,prev_exp,exp_date,brain_abbr
1,Accessory supraoptic group,positive,14,BRAC5872.1f,cfos,0.0,65025.600000000006,215.29982037843556,Parental-,,build a nest near the pups but not parental,,Agg+,,,,pup was consumed – which may compromise the the food consumption data,0.4,C-fos,1.0,,26/05/21,ASO
4253,Accessory supraoptic group,positive,25,BRAC5487.3k,cfos,0.0,53505.8,467.23906567138516,Parental+,,,,Agg-,,Parental+,,build a nest around the pups,0.3,C-fos,1.0,,12/05/21,ASO
6053,Accessory supraoptic group,positive,21,BRAC5487.3j,cfos,0.0,105765.7,198.5520825749747,Parental+,,,,Agg+,,,,,0.7,C-fos,1.0,,12/05/21,ASO
3403,Accessory supraoptic group,positive,61,BRAC5112.5g,cfos,0.0,41123.0,1483.3548136079567,Parental-,,,,Agg-,,Parental+,,retrieve both pups,,,,,,ASO
6965,Accessory supraoptic group,positive,26,BRAC5872.1d,cfos,0.0,77886.8,333.81779711067855,Parental-,,,,Agg+,,,,,0.9,C-fos,1.0,,26/05/21,ASO
2543,Accessory supraoptic group,positive,69,BRAC5603.3e,cfos,0.0,63264.7,1090.6556104747197,Parental+,,build a nest around the pups,,Agg+,,,,,1.0,C-fos,1.0,,30/04/21,ASO
7835,Accessory supraoptic group,positive,15,BRAC5872.1c,cfos,0.0,60523.5,247.8376167934769,Parental-,,,,Agg+,,,,,0.9,C-fos,1.0,,26/05/21,ASO
1649,Accessory supraoptic group,positive,32,BRAC5487.3i,cfos,0.0,49212.3,650.2439430792708,Parental+,,,,Agg-,,Parental+,,retrieve one pup,0.5,C-fos,1.0,,12/05/21,ASO
8707,Accessory supraoptic group,positive,41,BRAC5603.3f,cfos,0.0,59041.6,694.425625321807,Parental+,,build a nest around the pups,,Agg-,,Parental+,,build a nest around the pups,0.4,C-fos,1.0,,30/04/21,ASO
883,Accessory supraoptic group,positive,26,BRAC5872.1g,cfos,0.0,49724.100000000006,522.88528098045,Parental-,,retrieve one pup very late,,Agg+,,,,,0.6,C-fos,1.0,,26/05/21,ASO
