,BrainRegion,Class,Num_cells,id,channel
0,Accessory supraoptic group,negative,0,BRAC5872.1f,cfos
1,Accessory supraoptic group,positive,14,BRAC5872.1f,cfos
2,"Agranular insular area, dorsal part, layer 1",negative,4,BRAC5872.1f,cfos
3,"Agranular insular area, dorsal part, layer 1",positive,69,BRAC5872.1f,cfos
4,"Agranular insular area, dorsal part, layer 2/3",negative,1,BRAC5872.1f,cfos
5,"Agranular insular area, dorsal part, layer 2/3",positive,434,BRAC5872.1f,cfos
6,"Agranular insular area, dorsal part, layer 5",negative,7,BRAC5872.1f,cfos
7,"Agranular insular area, dorsal part, layer 5",positive,941,BRAC5872.1f,cfos
8,"Agranular insular area, dorsal part, layer 6a",negative,10,BRAC5872.1f,cfos
9,"Agranular insular area, dorsal part, layer 6a",positive,827,BRAC5872.1f,cfos
10,"Agranular insular area, dorsal part, layer 6b",negative,2,BRAC5872.1f,cfos
11,"Agranular insular area, dorsal part, layer 6b",positive,34,BRAC5872.1f,cfos
12,"Agranular insular area, posterior part, layer 1",negative,16,BRAC5872.1f,cfos
13,"Agranular insular area, posterior part, layer 1",positive,477,BRAC5872.1f,cfos
14,"Agranular insular area, posterior part, layer 2/3",negative,50,BRAC5872.1f,cfos
15,"Agranular insular area, posterior part, layer 2/3",positive,2254,BRAC5872.1f,cfos
16,"Agranular insular area, posterior part, layer 5",negative,71,BRAC5872.1f,cfos
17,"Agranular insular area, posterior part, layer 5",positive,2272,BRAC5872.1f,cfos
18,"Agranular insular area, posterior part, layer 6a",negative,91,BRAC5872.1f,cfos
19,"Agranular insular area, posterior part, layer 6a",positive,1704,BRAC5872.1f,cfos
20,"Agranular insular area, posterior part, layer 6b",negative,5,BRAC5872.1f,cfos
21,"Agranular insular area, posterior part, layer 6b",positive,72,BRAC5872.1f,cfos
22,"Agranular insular area, ventral part, layer 1",negative,2,BRAC5872.1f,cfos
23,"Agranular insular area, ventral part, layer 1",positive,54,BRAC5872.1f,cfos
24,"Agranular insular area, ventral part, layer 2/3",negative,0,BRAC5872.1f,cfos
25,"Agranular insular area, ventral part, layer 2/3",positive,488,BRAC5872.1f,cfos
26,"Agranular insular area, ventral part, layer 5",negative,10,BRAC5872.1f,cfos
27,"Agranular insular area, ventral part, layer 5",positive,510,BRAC5872.1f,cfos
28,"Agranular insular area, ventral part, layer 6a",negative,6,BRAC5872.1f,cfos
29,"Agranular insular area, ventral part, layer 6a",positive,306,BRAC5872.1f,cfos
30,Anterior amygdalar area,negative,15,BRAC5872.1f,cfos
31,Anterior amygdalar area,positive,1657,BRAC5872.1f,cfos
32,"Anterior area, layer 1",negative,9,BRAC5872.1f,cfos
33,"Anterior area, layer 1",positive,542,BRAC5872.1f,cfos
34,"Anterior area, layer 2/3",negative,2,BRAC5872.1f,cfos
35,"Anterior area, layer 2/3",positive,1639,BRAC5872.1f,cfos
