area,abbr
Accessory supraoptic group,ASO
Anterior amygdalar area,AAA
Anterior hypothalamic nucleus,AHA
Anterodorsal preoptic nucleus,ADP
Anteroventral periventricular nucleus,AVPV
Anteroventral preoptic nucleus,AVP
Arcuate hypothalamic nucleus,ARC
"Basolateral amygdalar nucleus, anterior part",BLAa
"Basolateral amygdalar nucleus, posterior part",BLAp
"Basolateral amygdalar nucleus, ventral part",BLAv
Bed nuclei of the stria terminalis,BNST
"Central amygdalar nucleus, capsular part",CEAc
"Central amygdalar nucleus, lateral part",CEAl
"Central amygdalar nucleus, medial part",CEAm
"Cortical amygdalar area, anterior part",COAa
"Cortical amygdalar area, posterior part, lateral zone",COApl
"Cortical amygdalar area, posterior part, medial zone",COApm
Dorsal premammillary nucleus,PMd
Dorsomedial nucleus of the hypothalamus,DMH
Lateral amygdalar nucleus,LA
Lateral hypothalamic area,LH
"Lateral septal nucleus, caudal (caudodorsal) part",LSc
"Lateral septal nucleus, rostral (rostroventral) part",LSr
"Lateral septal nucleus, ventral part",LSv
Lateral mammillary nucleus,LM
Lateral preoptic area,LPOA
Medial amygdalar nucleus,MeA
Medial preoptic area,MPO
Medial preoptic nucleus,MPN
Median preoptic nucleus,MEPO
Medial septal nucleus,MS
Paraventricular hypothalamic nucleus,PVN
Paraventricular nucleus of the thalamus,PVT
Perifornical nucleus,PeF
Periaqueductal gray,PAG
"Periventricular hypothalamic nucleus, anterior part",PVa
"Periventricular hypothalamic nucleus, intermediate part",PVi
"Periventricular hypothalamic nucleus, posterior part",PVp
"Periventricular hypothalamic nucleus, preoptic part",PVpo
Posterior hypothalamic nucleus,PH
Posterior amygdalar nucleus,PA
Posterodorsal preoptic nucleus,PD
Parastrial nucleus,PS
Suprachiasmatic nucleus,SCH
Supramammillary nucleus,SUM
Tuberal nucleus,TU
"Tuberomammillary nucleus, dorsal part",TMd
"Tuberomammillary nucleus, ventral part",TMv
Ventral premammillary nucleus,PMv
Ventral tegmental area,VTA
Ventrolateral preoptic nucleus,VLPO
Ventromedial hypothalamic nucleus,VMH
Ventromedial preoptic nucleus,VMPO
