,stat,p_value,brain_abbr
Accessory supraoptic group,5.0,0.24218374218374222,ASO
Anterior amygdalar area,5.0,0.24218374218374222,AAA
Anterior hypothalamic nucleus,5.0,0.24218374218374222,AHA
Anterodorsal preoptic nucleus,9.0,0.5128596893302775,ADP
Anteroventral periventricular nucleus,1.0,0.07647907647907648,AVPV
Anteroventral preoptic nucleus,0.0,0.04588744588744589,AVP
Arcuate hypothalamic nucleus,9.0,0.5128596893302775,ARC
"Basolateral amygdalar nucleus, anterior part",18.0,0.7978158205430932,BLAa
"Basolateral amygdalar nucleus, posterior part",20.0,0.5678571428571428,BLAp
"Basolateral amygdalar nucleus, ventral part",15.0,1.0,BLAv
Bed nuclei of the stria terminalis,8.0,0.4509628302731751,BNST
"Central amygdalar nucleus, capsular part",15.0,1.0,CEAc
"Central amygdalar nucleus, lateral part",15.0,1.0,CEAl
"Central amygdalar nucleus, medial part",8.0,0.4509628302731751,CEAm
"Cortical amygdalar area, anterior part",9.0,0.5128596893302775,COAa
"Cortical amygdalar area, posterior part, lateral zone",15.0,1.0,COApl
"Cortical amygdalar area, posterior part, medial zone",17.0,0.9127611518915866,COApm
Dorsal premammillary nucleus,5.0,0.24218374218374222,PMd
Dorsomedial nucleus of the hypothalamus,4.0,0.2117882117882118,DMH
Lateral amygdalar nucleus,20.0,0.5678571428571428,LA
Lateral hypothalamic area,3.0,0.17845117845117847,LH
"Lateral septal nucleus, caudal (caudodorsal) part",18.0,0.7978158205430932,LSc
"Lateral septal nucleus, rostral (rostroventral) part",12.0,0.7978158205430932,LSr
"Lateral septal nucleus, ventral part",9.0,0.5128596893302775,LSv
Lateral mammillary nucleus,5.0,0.37627705627705627,LM
Lateral preoptic area,0.0,0.04588744588744589,LPOA
Medial amygdalar nucleus,10.0,0.5678571428571428,MeA
Medial preoptic area,0.0,0.04588744588744589,MPO
Medial preoptic nucleus,4.0,0.2117882117882118,MPN
Median preoptic nucleus,2.0,0.11471861471861472,MEPO
Medial septal nucleus,5.0,0.24218374218374222,MS
Paraventricular hypothalamic nucleus,7.0,0.37627705627705627,PVN
Paraventricular nucleus of the thalamus,9.0,0.5128596893302775,PVT
Perifornical nucleus,4.0,0.2117882117882118,PeF
Periaqueductal gray,14.0,1.0,PAG
"Periventricular hypothalamic nucleus, anterior part",7.0,0.37627705627705627,PVa
"Periventricular hypothalamic nucleus, intermediate part",10.0,0.5678571428571428,PVi
"Periventricular hypothalamic nucleus, posterior part",7.0,0.37627705627705627,PVp
"Periventricular hypothalamic nucleus, preoptic part",4.0,0.2117882117882118,PVpo
Posterior hypothalamic nucleus,10.0,0.5678571428571428,PH
Posterior amygdalar nucleus,14.0,1.0,PA
Posterodorsal preoptic nucleus,12.0,0.7978158205430932,PD
Parastrial nucleus,0.0,0.04588744588744589,PS
Suprachiasmatic nucleus,7.0,0.37627705627705627,SCH
Supramammillary nucleus,6.0,0.33268398268398264,SUM
Tuberal nucleus,0.0,0.04588744588744589,TU
"Tuberomammillary nucleus, dorsal part",10.0,0.5678571428571428,TMd
"Tuberomammillary nucleus, ventral part",17.0,0.9127611518915866,TMv
Ventral premammillary nucleus,8.0,0.4509628302731751,PMv
Ventral tegmental area,14.0,0.9486659912191827,VTA
Ventrolateral preoptic nucleus,8.0,0.4509628302731751,VLPO
Ventromedial hypothalamic nucleus,2.0,0.11471861471861472,VMH
Ventromedial preoptic nucleus,6.0,0.33268398268398264,VMPO
